,Food&Drinks,AlcoholicItems,Cloothing&Footwear,Fuel&Power,HouseholdGoods,Health,Transport,Communication,Recreation&Culture,Education,Restaurants&Hotels,Goods&Services,AllExpenditure,OtherExpenditure,Total Exp,Income
743,3464,700,1418,4513,2364,433,4644,1076,4370,421,2957,2558,28924,4444,33369,39376
744,7467,1410,3102,9069,5786,1116,11133,2323,11234,1026,6621,5955,66224,10727,76952,79260
745,463,99,181,491,280,50,637,147,584,15,352,310,3614,500,4114,4690
746,2635,535,954,3313,1939,401,3814,790,3555,237,2142,2056,22377,3352,25729,32676
747,567,115,205,713,417,86,821,170,765,51,461,442,4817,721,5539,5649
748,5641,934,2563,11086,3523,703,6704,1792,5650,1586,5701,4244,50124,8702,58827,66474
749,65,13,23,82,48,10,95,19,88,5,53,51,557,83,641,647
750,7545,1249,3428,14827,4713,940,8967,2396,7557,2121,7625,5676,67039,11639,78678,95988
751,1330,295,512,1451,897,152,1769,395,1571,130,1054,949,10507,1516,12024,12986
752,1697,391,822,1426,832,180,2009,481,1383,130,1200,1040,11592,1389,12981,14928
753,10653,2367,4108,11628,7189,1218,14169,3168,12585,1044,8442,7607,84165,12150,96315,119431
754,14678,2969,6011,19120,10018,1834,19675,4562,18516,1786,12529,10839,122544,18830,141375,182374
755,891,168,370,1082,690,133,1328,277,1340,122,790,710,7903,1280,9183,11112
756,986,200,357,1240,725,150,1427,295,1330,88,801,769,8375,1254,9630,10400
757,727,167,352,611,356,77,861,206,593,55,514,445,4967,595,5562,6508
758,1870,415,721,2041,1262,213,2487,556,2209,183,1482,1335,14776,2133,16909,21136
759,5375,1087,2201,7002,3669,671,7205,1671,6781,654,4588,3969,44879,6896,51775,55399
760,130936,26488,53623,170562,89372,16367,175515,40702,165178,15936,111770,96695,1093150,167978,1261128,1513353
761,5525,915,2510,10857,3451,688,6566,1754,5533,1553,5583,4156,49087,8522,57610,61066
762,72999,14768,29896,95091,49827,9124,97853,22692,92090,8884,62313,53909,609452,93651,703103,731227
763,404,99,165,442,250,45,516,129,499,24,313,258,3151,453,3605,4109
764,150,30,54,189,110,22,217,45,203,13,122,117,1278,191,1470,1735
765,6495,1273,2516,7884,3947,866,8813,1984,8186,375,5033,4834,52201,8019,60221,75879
766,85,17,31,107,63,13,124,25,115,7,69,66,727,109,836,970
767,1358,256,564,1649,1052,203,2025,422,2043,186,1204,1083,12047,1951,13998,16098
768,4718,925,1828,5727,2867,629,6402,1441,5947,273,3656,3512,37921,5825,43747,46810
769,15746,2608,7155,30942,9835,1962,18713,5001,15770,4427,15913,11845,139897,24289,164186,165828
770,12533,2785,4833,13680,8457,1433,16670,3727,14806,1228,9932,8949,99016,14294,113311,145038
771,587,130,226,641,396,67,781,174,693,57,465,419,4639,669,5309,6159
772,2736,536,1060,3322,1663,365,3713,836,3449,158,2120,2037,21995,3379,25374,32733
773,22337,4518,9148,29097,15246,2792,29942,6943,28178,2718,19067,16495,186488,28656,215144,240962
774,1050,212,430,1368,717,131,1408,326,1325,127,897,776,8773,1348,10121,10223
775,686,137,249,788,403,91,815,217,782,60,480,459,5171,753,5925,5984
776,119992,24274,49141,156306,81902,14999,160845,37300,151372,14604,102428,88613,1001781,153938,1155719,1363748
777,1005,215,394,1066,607,109,1381,319,1267,34,763,672,7835,1084,8919,11506
778,37665,7619,15425,49063,25708,4708,50488,11708,47515,4584,32151,27815,314454,48320,362775,413563
779,132,30,64,111,65,14,156,37,108,10,93,81,905,108,1013,1185
780,4827,911,2005,5863,3741,721,7197,1502,7263,663,4280,3850,42816,6935,49751,58209
781,1502,304,615,1957,1025,187,2014,467,1895,182,1282,1109,12546,1927,14474,15198
782,10036,2030,4110,13073,6850,1254,13453,3119,12661,1221,8567,7411,83792,12875,96668,116968
783,3608,733,1307,4537,2656,550,5223,1082,4868,325,2934,2815,30642,4590,35232,36994
784,798,170,312,846,482,86,1096,253,1005,27,605,533,6219,860,7079,8708
785,1457,294,596,1898,994,182,1953,453,1838,177,1244,1076,12167,1869,14037,17406
786,411,83,149,517,303,62,595,123,555,37,334,321,3495,523,4019,4381
787,3087,583,1282,3750,2392,461,4603,960,4645,424,2737,2462,27384,4435,31819,36592
788,742,140,308,901,575,110,1106,230,1116,102,658,591,6582,1066,7648,9331
789,405,82,146,509,298,61,587,121,547,36,329,316,3444,515,3959,4237
790,53849,11518,21117,57113,32540,5855,74007,17085,67863,1823,40891,35995,419661,58073,477734,530285
791,3934,919,1746,4084,2893,313,5160,1226,5495,206,3257,2409,31641,3977,35618,38468
792,164,36,63,179,111,18,219,49,194,16,130,117,1301,187,1489,1683
793,740,139,307,899,574,110,1104,230,1114,101,656,590,6570,1064,7635,9391
794,1680,329,651,2039,1021,224,2279,513,2117,97,1302,1250,13503,2074,15578,17915
795,26372,5335,10800,34353,18001,3296,35351,8198,33269,3209,22512,19475,220177,33833,254011,307353
796,15000,2484,6816,29477,9369,1869,17827,4764,15023,4217,15160,11284,133274,23139,156414,172055
797,14435,2934,5229,18150,10625,2200,20895,4330,19475,1301,11737,11264,122579,18363,140942,171950
798,281,53,116,341,217,42,419,87,423,38,249,224,2493,403,2897,3129
799,605,114,251,734,468,90,902,188,910,83,536,482,5365,869,6235,6235
800,19831,4407,7647,21646,13383,2268,26377,5897,23428,1944,15716,14160,156676,22618,179295,195431
801,14248,2896,5162,17915,10487,2172,20625,4274,19223,1284,11585,11118,120994,18125,139120,150249
802,2869,613,1125,3043,1734,312,3943,910,3616,97,2179,1918,22363,3094,25458,32586
